city_name,country_code,latitude,longitude,station_distance_km,years_analyzed,first_year,last_year,temp_trend_per_year,temp_trend_per_decade,ols_trend_per_decade,r_squared,t_statistic,p_value,significant_05,temp_2000_2009,temp_2015_2024,mean_temp_all_years,temp_std_dev
Dupree,US,45.047,-101.601,0.115,25,2000,2024,0.06659649122807018,0.6659649122807019,0.5690076923076922,0.13019680144179502,1.855468455246378,0.0763905081546048,False,8.1039,9.135499999999999,8.51216,1.160603926123522
Ebaye,MH,8.775,167.739,4.659,25,2000,2024,0.012687500000000122,0.12687500000000124,0.14190769230769243,0.12718450315538488,1.8307110066055023,0.08013190396288916,False,28.1168,28.378799999999995,28.26176,0.29285651776936805
Ezeiza,AR,-34.854,-58.525,3.747,25,2000,2024,0.03655844155844162,0.36558441558441623,0.39657692307692277,0.3162769183245763,3.261801638733175,0.0034312651876013955,True,17.340700000000002,18.0022,17.68516,0.5189909022966268
Fort Beaufort,ZA,-32.775,26.634,0.918,22,2000,2024,0.021700000000000053,0.21700000000000053,0.21623337262165376,0.11582905717009451,1.6186600174637293,0.12118308753536544,False,19.715249999999997,20.036500000000004,19.83913636363636,0.4555957162989537
Funes,AR,-32.916,-60.81,2.667,22,2000,2024,0.027199999999999846,0.27199999999999847,0.25279815681579065,0.17446729510180314,2.0559136508002016,0.053079302057762456,False,18.526375,18.837699999999998,18.64159090909091,0.46745885065562415
Glen Innes,AU,-29.735,151.738,0.284,25,2000,2024,-0.023324999999999863,-0.23324999999999863,-0.18417692307692296,0.0670414996609181,-1.2855963042679628,0.21137801480883622,False,14.476099999999999,14.111600000000001,14.23316,0.523515335655668
Guiping,CN,23.395,110.074,1.054,25,2000,2024,0.0064294871794870435,0.06429487179487044,0.04911538461538459,0.012974154351655054,0.5498436143375952,0.5877268290966771,False,22.9839,23.0043,22.92424,0.3173540714512212
Invercargill,NZ,-46.4,168.35,2.296,25,2000,2024,0.036510526315789466,0.36510526315789466,0.2538307692307691,0.18985656212882462,2.321644743167211,0.029464766456169578,True,9.8029,10.302999999999999,10.02572,0.42874346642252165
Jiexiu,CN,37.024,111.912,1.032,25,2000,2024,0.07066176470588234,0.7066176470588235,0.7268999999999998,0.4906434179310992,4.706910551882621,9.663981982344083e-05,True,11.8684,12.916,12.24184,0.7637614527237329
Kahuku,US,21.68,-157.952,0.745,25,2000,2024,0.011480549199084658,0.11480549199084658,-0.11522307692307718,0.008032771793426208,-0.43156674318244076,0.6700747906165527,False,24.6004,24.430799999999998,24.222360000000002,0.946177920196126
Kalbarri,AU,-27.71,114.165,0.156,25,2000,2024,0.03452777777777803,0.34527777777778035,0.3597384615384613,0.23934147038268383,2.6901594718016146,0.013067333264540348,True,21.284399999999998,21.709899999999998,21.616120000000002,0.5411827571778932
Kandi,BJ,11.134,2.939,0.626,23,2000,2024,0.008624999999999883,0.08624999999999883,0.1526913588948407,0.10819032043635823,1.596128160800702,0.12540002973580266,False,28.57425,28.7158,28.69826086956522,0.34763267152024196
Khatanga,RU,71.98,102.471,0.375,25,2000,2024,0.07319899665551838,0.7319899665551838,0.8812230769230768,0.22377031636419709,2.574957306427025,0.016931337987329265,True,-11.737100000000002,-10.4385,-10.944160000000002,1.371041747480117
Khowa,ZA,-31.333,27.85,0.007,23,2000,2024,0.02699999999999984,0.2699999999999984,0.28478325977301383,0.23979822212653723,2.573760825654169,0.017702960978015714,True,15.266,15.7135,15.438434782608699,0.4118393139968058
Klyuchi,RU,56.32,160.845,0.861,14,2000,2013,0.07700000000000001,0.7700000000000001,0.5837582417582418,0.12349242154361173,1.3002681919360637,0.21792818293847827,False,0.30450000000000005,,0.4026428571428572,0.6949153359768542
Kolonia,FM,6.964,158.206,1.198,25,2000,2024,0.03530844155844175,0.3530844155844175,0.3851384615384615,0.48508185633249845,4.654814044412771,0.00011003346534321778,True,27.262999999999998,27.856899999999996,27.53624,0.4069822150086335
Kotzebue,US,66.898,-162.598,1.479,25,2000,2024,0.035099999999999965,0.35099999999999965,0.4489076923076921,0.041699897371241135,1.000416034100815,0.32751880957241175,False,-4.5855999999999995,-3.306,-4.05644,1.617914657823459
Kutchan,JP,42.901,140.741,0.779,23,2000,2024,0.03433333333333325,0.3433333333333325,0.34345935727788246,0.3674972008543995,3.493055123217597,0.0021675540711099117,True,6.923111111111111,7.392555555555556,7.117869565217392,0.3928980094754902
Kēōkea,US,20.707,-156.354,0.722,21,2000,2022,-0.016029411764705882,-0.1602941176470588,-0.1327732046551232,0.08850448302407077,-1.3582576719772488,0.19029250990191415,False,17.3686,17.253,17.273142857142858,0.3166176378084907
La Mare,RE,-20.898,55.533,2.641,25,2000,2024,0.026369047619047535,0.26369047619047536,0.24316923076923036,0.33715072777429433,3.4203344671625078,0.0023402429286940585,True,24.2421,24.627499999999998,24.461880000000004,0.30822128414501165
Laboulaye,AR,-34.127,-63.391,2.296,25,2000,2024,0.06724999999999987,0.6724999999999987,0.6856692307692304,0.5638197814333328,5.452567988818011,1.5287937642494143e-05,True,16.8694,17.903100000000002,17.47304,0.6720638908119771
Lachute,CA,45.65,-74.333,0.06,20,2000,2023,0.03584210526315786,0.35842105263157864,0.30369052721817397,0.058911732197028055,1.061504816824983,0.302496192390201,False,6.4007000000000005,6.8162,6.67015,0.8768815124303312
Lamoni,US,40.623,-93.934,0.058,25,2000,2024,0.05552083333333328,0.5552083333333329,0.5049384615384613,0.13543589248089294,1.8981573200841226,0.0702953678875442,False,10.5729,11.569700000000001,10.991719999999997,1.0098052419484993
Malargüe,AR,-35.478,-69.585,2.057,22,2000,2024,0.03416666666666668,0.3416666666666668,0.3812911244333962,0.4119958043644818,3.7434426323977466,0.00128079378242818,True,12.890142857142857,13.458400000000001,13.17118181818182,0.4571046182600128
Mariestad,SE,58.71,13.824,0.214,24,2000,2024,0.041517105263157876,0.4151710526315788,0.42865584415584407,0.14638652145835773,1.9423668340414557,0.06500257224328299,False,8.286100000000001,8.940444444444445,8.453958333333333,0.8368816070839186
Molina de Aragón,ES,40.844,-1.888,0.207,25,2000,2024,0.05274210526315792,0.5274210526315792,0.5374692307692305,0.44619434913385003,4.3047433073389705,0.0002634407185826415,True,10.7813,11.6303,11.14376,0.5921853088349963
Munising,US,46.411,-86.649,0.129,25,2000,2024,0.04092083333333332,0.40920833333333323,0.3536461538461535,0.05697565240736602,1.1788189767142074,0.2505220199270881,False,5.9411000000000005,6.4774,6.252039999999999,1.0904112939620534
Murrurundi,AU,-31.764,150.836,0.111,25,2000,2024,0.04077272727272735,0.4077272727272735,0.3032384615384617,0.08792174235698913,1.4890044973373666,0.15007124084872725,False,15.6082,16.1969,15.88052,0.7526658244754664
Målilla,SE,57.388,15.807,0.424,24,2000,2024,0.04646875,0.46468750000000003,0.487874025974026,0.21807073191112625,2.4770016526245313,0.021414368657066918,True,7.2021,8.004999999999999,7.452125,0.7803956250016648
Mākaha Valley,US,21.476,-158.199,0.398,25,2000,2024,0.005090476190476182,0.050904761904761814,0.06283846153846144,0.03164701957749805,0.8669887838304863,0.39490345787174697,False,24.1926,24.2701,24.151480000000003,0.25997117147868487
Narooma,AU,-36.218,150.132,0.485,25,2000,2024,0.014124999999999794,0.14124999999999793,0.13724615384615377,0.10106548174826024,1.6080565398266191,0.12146500364565926,False,16.302600000000005,16.5305,16.3734,0.3177348213001948
Naryn,KG,41.428,75.996,0.642,25,2000,2024,-0.0034479166666666894,-0.034479166666666894,-0.037638461538461655,0.0011242289760509117,-0.16089241329188164,0.8735829913660142,False,5.1233,4.969500000000001,4.96912,0.8261721128191147
Nasinu,FJ,-18.071,178.513,5.544,24,2000,2024,0.027336363636363596,0.273363636363636,0.21897281067556337,0.17434609325161654,2.155353109503948,0.04233900991018058,True,25.227999999999998,25.5567,25.371458333333337,0.3864507369658506
Nikol’skoye,RU,55.197,165.998,1.183,16,2000,2016,0.04362500000000004,0.43625000000000036,0.5420993914807302,0.19566890415675153,1.8454721458839254,0.08622232375500039,False,2.8212,2.9055,2.9196875,0.6084522132701411
Noupoort,ZA,-31.187,24.95,0.485,24,2000,2024,0.022108695652173868,0.22108695652173868,0.26231351351351334,0.14326841102158971,1.9180687618526524,0.06817384465816478,False,15.738888888888889,16.300400000000003,15.987500000000002,0.5074833045015632
Okhotsk,RU,59.362,143.215,0.532,25,2000,2024,-0.004750000000000051,-0.047500000000000514,0.048707692307692244,0.00489468764915868,0.3363503524274053,0.7396561240590778,False,-3.1746000000000008,-3.1121,-3.1140000000000003,0.5123905574201513
Ongi,MN,45.45,103.9,0.0,25,2000,2024,0.05138809523809523,0.5138809523809523,0.4318384615384614,0.14479203569848398,1.9733330367103874,0.06059132522536648,False,2.7236000000000002,3.2403999999999997,2.8294000000000006,0.8352472188919079
Onslow,AU,-21.638,115.112,0.148,25,2000,2024,0.08174603174603173,0.8174603174603173,0.7763307692307688,0.7312380803251033,7.910600469451239,5.198443853160484e-08,True,25.4213,26.592000000000002,26.0572,0.6681645880070768
